"","PassengerId","HomePlanet","CryoSleep","Cabin","Destination","Age","VIP","RoomService","FoodCourt","ShoppingMall","Spa","VRDeck","Name","Transported"
"8121","8671_01","Europa","False","A/90/P","55 Cancri e",29,"False",1,764,1,265,1539,"Avijava Ticagent","True"
"754","0790_01","Earth","True","G/119/S","PSO J318.5-22",20,"False",0,0,NA,0,0,"Fanne Pottmanley","True"
"4751","5067_01","Earth","False","F/964/S","55 Cancri e",36,"False",0,1808,0,344,0,"Kerryn Wolfernan","True"
"4820","5140_01","Earth","True","G/840/S","PSO J318.5-22",23,"False",0,0,0,0,0,"Elancy Pughanders","True"
"2839","3063_02","Earth","True","G/499/P","TRAPPIST-1e",7,"False",0,0,0,0,0,"Joana Daughttley","True"
"6509","6866_01","Europa","False","C/253/S","55 Cancri e",20,"False",0,17958,99,14,57,"Gork Hetforhaft","True"
"396","0435_01","Earth","True","G/62/S","TRAPPIST-1e",17,"False",0,0,0,0,0,"Allie Willynnedy","True"
"2029","2168_01","Mars","True","F/427/S","TRAPPIST-1e",35,"False",0,0,0,0,0,"Fow Lacke","True"
"4677","4981_02","Earth","","G/814/S","PSO J318.5-22",29,"False",0,0,0,0,0,"Millia Connon","True"
"3723","3998_01","Europa","False","C/129/P","55 Cancri e",28,"False",89,4826,0,2,1598,"Batan Iniouser","True"
"1036","1100_03","Mars","False","F/226/P","TRAPPIST-1e",18,"False",787,0,106,1710,0,"Cireal Cuche","False"
"8522","9094_02","Earth","False","G/1465/S","TRAPPIST-1e",43,"False",0,704,0,2,0,"Ger Hayertez","True"
"2213","2368_01","Mars","False","E/141/P","TRAPPIST-1e",22,"False",579,0,267,0,108,"Prow Potte","False"
"2418","2594_01","Europa","True","B/98/S","TRAPPIST-1e",34,"False",0,0,0,0,0,"Neutrix Cisorter","True"
"2389","2562_02","Mars","False","F/526/P","TRAPPIST-1e",20,"False",2502,0,96,0,0,"Snoles Brele","False"
"3248","3488_02","Europa","False","D/110/P","TRAPPIST-1e",52,"False",6,2333,11,1149,1,"Naosura Hoorbaring","False"
"7798","8322_01","Europa","False","","PSO J318.5-22",45,"True",NA,49,0,4864,3902,"Hamelik Briouse","False"
"3845","4113_02","Europa","False","B/129/P","TRAPPIST-1e",45,"False",0,2524,0,166,1,"Coxak Bradiary","True"
"7893","8427_01","Earth","True","G/1376/P","PSO J318.5-22",17,"False",0,0,0,0,0,"Nice Sosanturney","False"
"6448","6810_01","Mars","True","E/450/S","TRAPPIST-1e",20,"False",0,0,0,0,0,"Yots Knik","True"
"7653","8167_01","Earth","True","G/1315/S","PSO J318.5-22",23,"False",0,0,0,0,0,"Kendy Foxter","True"
"7998","8557_01","Europa","True","B/334/S","TRAPPIST-1e",39,"False",0,0,0,0,0,"Cheleon Swingse","True"
"7018","7462_01","Earth","True","G/1206/P","PSO J318.5-22",13,"False",0,0,0,0,0,"Hilia Mckinn","True"
"1547","1637_01","Earth","True","G/255/S","TRAPPIST-1e",25,"False",0,0,0,0,0,"Leony Ricews","True"
"3533","3787_03","Mars","False","D/122/S","TRAPPIST-1e",NA,"False",132,75,849,0,0,"Guls Prie","True"
"2990","3236_01","Earth","True","G/524/P","55 Cancri e",1,"False",0,0,0,0,0,"Garyan Woody","True"
"663","0691_01","Mars","False","E/49/S","TRAPPIST-1e",19,"False",164,0,783,0,0,"Bubbix Potte","False"
"7272","7776_01","Europa","False","D/246/P","",57,"False",0,412,0,5491,234,"Pollum Craleve","False"
"1611","1709_03","Mars","False","","TRAPPIST-1e",35,"False",1313,0,24,0,1,"Bleark Minen","False"
"1195","1271_01","Earth","True","G/189/P","PSO J318.5-22",21,"False",0,0,0,0,0,"Melara Hubbarrison","False"
"720","0761_01","Europa","False","C/26/P","",33,"False",0,3879,0,48,67,"Izarki Fliblerolt","True"
"3761","4017_05","Mars","False","F/761/S","TRAPPIST-1e",23,"False",931,0,134,0,421,"Hog Gene","False"
"1976","2111_01","Mars","False","F/417/P","TRAPPIST-1e",24,"False",600,593,1404,0,1,"Beals Blan","False"
"7536","8056_02","Europa","False","C/262/P","TRAPPIST-1e",28,"False",40,9012,0,111,551,"Marrai Ausivetpul","True"
"4650","4950_01","Earth","True","G/800/P","PSO J318.5-22",39,"False",0,0,0,0,0,"Eulahy Wheelez","False"
"4063","4338_02","Europa","False","C/156/S","TRAPPIST-1e",41,"False",0,545,0,2740,293,"Halsham Aroodint","True"
"4093","4368_01","Mars","True","F/900/P","55 Cancri e",32,"False",0,0,0,0,0,"Smats Flate","True"
"18","0015_01","Earth","False","F/4/P","55 Cancri e",24,"False",0,1,0,0,637,"Carry Hughriend","False"
"3570","3842_01","Earth","False","F/794/P","55 Cancri e",41,"False",312,89,44,0,252,"Lynnee Vinston","False"
"6744","7113_02","Earth","False","F/1361/S","55 Cancri e",23,"False",9,1,0,492,109,"Ivanne Simstravery","True"
"1598","1695_01","Earth","False","G/264/S","TRAPPIST-1e",26,"False",324,0,201,2,256,"Fredy Moraleney","False"
"4898","5220_01","Mars","False","D/165/P","TRAPPIST-1e",21,"False",2206,0,353,0,19,"Jackok Cooki","False"
"1599","1696_01","Europa","False","B/55/P","TRAPPIST-1e",43,"False",0,760,17,15331,427,"Alam Iderinelay","False"
"6407","6765_01","Mars","True","F/1295/S","TRAPPIST-1e",55,"False",0,0,0,0,0,"Lifes Fache","True"
"5278","5629_01","Earth","True","G/901/P","TRAPPIST-1e",28,"False",0,NA,0,0,0,"Jaye Sterson","True"
"5182","5528_01","Earth","False","F/1143/P","TRAPPIST-1e",18,"False",0,288,35,0,435,"Hanna Peckerson","False"
"3957","4219_03","Mars","False","F/868/P","TRAPPIST-1e",32,"False",1331,416,0,665,64,"Supix Min","False"
